Date	Discharge	Baseflow	BFI Index	
2011-11-01	21.4	0	0	
2011-11-02	20.6	0	0	
2011-11-03	20.6	0	0	
2011-11-04	20.6	0	0	
2011-11-05	20.6	0	0	
2011-11-06	20.6	20.6	1	
2011-11-07	20.6	20.6	1	
2011-11-08	21.4	20.92	0.98	
2011-11-09	21.4	21.08	0.99	
2011-11-10	21.4	21.24	0.99	
2011-11-11	21.4	21.4	1	
2011-11-12	21.4	21.24	0.99	
2011-11-13	21.4	21.08	0.99	
2011-11-14	21.4	20.92	0.98	
2011-11-15	21.4	20.76	0.97	
2011-11-16	20.6	20.6	1	
2011-11-17	20.6	20.6	1	
2011-11-18	23	21.08	0.92	
2011-11-19	23	21.32	0.93	
2011-11-20	23	21.56	0.94	
2011-11-21	23	21.80	0.95	
2011-11-22	23	22.04	0.96	
2011-11-23	23	22.28	0.97	
2011-11-24	23	22.52	0.98	
2011-11-25	23	22.76	0.99	
2011-11-26	23	23	1	
2011-11-27	23	22.91	1	
2011-11-28	23	22.82	0.99	
2011-11-29	23	22.73	0.99	
2011-11-30	23	22.64	0.98	
2011-12-01	23	22.56	0.98	
2011-12-02	23	22.47	0.98	
2011-12-03	23	22.38	0.97	
2011-12-04	23	22.29	0.97	
2011-12-05	22.2	22.2	1	
2011-12-06	22.2	22.2	1	
2011-12-07	22.2	22.2	1	
2011-12-08	22.2	22.2	1	
2011-12-09	22.2	22.2	1	
2011-12-10	22.2	22.2	1	
2011-12-11	22.2	22.2	1	
2011-12-12	22.2	22.2	1	
2011-12-13	22.2	22.2	1	
2011-12-14	23	22.2	0.97	
2011-12-15	23	22.2	0.97	
2011-12-16	22.2	22.2	1	
2011-12-17	22.2	22.2	1	
2011-12-18	22.2	22.2	1	
2011-12-19	22.2	22.2	1	
2011-12-20	22.2	22.2	1	
2011-12-21	22.2	22.2	1	
2011-12-22	22.2	22.2	1	
2011-12-23	22.2	22.2	1	
2011-12-24	22.2	22.2	1	
2011-12-25	23	22.84	0.99	
2011-12-26	23	23	1	
2011-12-27	23	23	1	
2011-12-28	23	23	1	
2011-12-29	23	23	1	
2011-12-30	23	23	1	
2011-12-31	23	23	1	
2012-01-01	23	22.84	0.99	
2012-01-02	23	22.68	0.99	
2012-01-03	23	22.52	0.98	
2012-01-04	23	22.36	0.97	
2012-01-05	22.2	22.2	1	
2012-01-06	22.2	22.2	1	
2012-01-07	22.2	22.2	1	
2012-01-08	22.2	22.2	1	
2012-01-09	22.2	22.2	1	
2012-01-10	22.2	22.2	1	
2012-01-11	22.2	22.2	1	
2012-01-12	42.6	22.2	0.52	
2012-01-13	45.2	22.2	0.49	
2012-01-14	23	22.2	0.97	
2012-01-15	22.2	22.2	1	
2012-01-16	30	22.2	0.74	
2012-01-17	30	22.2	0.74	
2012-01-18	22.2	22.2	1	
2012-01-19	22.2	22.2	1	
2012-01-20	30	22.2	0.74	
2012-01-21	30	22.2	0.74	
2012-01-22	30	22.2	0.74	
2012-01-23	30	22.2	0.74	
2012-01-24	28.6	22.2	0.78	
2012-01-25	22.2	22.2	1	
2012-01-26	22.2	22.2	1	
2012-01-27	22.2	22.2	1	
2012-01-28	30	22.37	0.75	
2012-01-29	28.5	22.43	0.79	
2012-01-30	25.5	22.49	0.88	
2012-01-31	26.7	22.54	0.84	
2012-02-01	30.3	22.60	0.75	
2012-02-02	31.4	22.66	0.72	
2012-02-03	32	22.71	0.71	
2012-02-04	26.9	22.77	0.85	
2012-02-05	24.2	22.83	0.94	
2012-02-06	24.4	22.89	0.94	
2012-02-07	23.2	22.94	0.99	
2012-02-08	23	23	1	
2012-02-09	23.1	23.1	1	
2012-02-10	24.2	23.11	0.96	
2012-02-11	23.8	23.12	0.97	
2012-02-12	23.7	23.14	0.98	
2012-02-13	23.6	23.15	0.98	
2012-02-14	24.1	23.16	0.96	
2012-02-15	23.4	23.18	0.99	
2012-02-16	23.5	23.19	0.99	
2012-02-17	23.2	23.2	1	
2012-02-18	23.2	23.2	1	
2012-02-19	24.5	24.5	1	
2012-02-20	27.3	25.74	0.94	
2012-02-21	28.1	26.98	0.96	
2012-02-22	31.8	28.23	0.89	
2012-02-23	36.4	29.47	0.81	
2012-02-24	46.3	30.71	0.66	
2012-02-25	142	31.95	0.23	
2012-02-26	125	33.19	0.27	
2012-02-27	141	34.44	0.24	
2012-02-28	95	35.68	0.38	
2012-02-29	76.8	36.92	0.48	
2012-03-01	67.6	38.16	0.56	
2012-03-02	88.4	39.41	0.45	
2012-03-03	96.3	40.65	0.42	
2012-03-04	95	41.89	0.44	
2012-03-05	116	43.13	0.37	
2012-03-06	108	44.37	0.41	
2012-03-07	64.4	45.62	0.71	
2012-03-08	51.3	46.86	0.91	
2012-03-09	48.1	48.1	1	
2012-03-10	47.6	47.6	1	
2012-03-11	48.1	47.57	0.99	
2012-03-12	47.3	47.3	1	
2012-03-13	58.1	49.3	0.85	
2012-03-14	65.5	51.3	0.78	
2012-03-15	86.6	53.3	0.62	
2012-03-16	114	55.3	0.49	
2012-03-17	104	57.3	0.55	
2012-03-18	95	59.3	0.62	
2012-03-19	92.5	61.3	0.66	
2012-03-20	111	63.3	0.57	
2012-03-21	112	65.3	0.58	
2012-03-22	107	67.3	0.63	
2012-03-23	95.7	69.3	0.72	
2012-03-24	71.3	71.3	1	
2012-03-25	79.4	70.06	0.88	
2012-03-26	71.6	68.81	0.96	
2012-03-27	87.8	67.57	0.77	
2012-03-28	73.9	66.33	0.9	
2012-03-29	74.5	65.09	0.87	
2012-03-30	74.3	63.84	0.86	
